"","name","n_nbinom","q_nbinom","pvalue_nbinom","n_binomlog","q_binomlog","p_binomlog","pvalue_binomlog","p1_doublenbinom","size1_doublenbinom","p2_doublenbinom","size2_doublenbinom","pvalue_doublenbinom","freq","class"
"result.1","and",5.2736897235533,0.0324914334772871,0.362400167683406,20,0.977066790189301,0.703112383257614,0.238290254746531,0.88926767514669,2.40263693151583e-07,0.0142961077381674,2.27627833326412,9.21208102686588e-05,16015,"nbinom+binomlog"
"result.2","the",5.75699585130496,0.0404552263382357,0.767987839857649,18,0.972060969156791,0.789936559321244,0.770121219732566,0.842995300466053,1.7009986178522e-06,0.0165124466603778,2.29366183475749,0.000131357379536401,13929,"nbinom+binomlog"
"result.3","to",6.59724280474802,0.0538945739674092,0.75133914635946,25,0.960230390933476,0.62294815636693,0.649062272327377,0.999996623744712,0.00100902103732754,0.0222488477631674,2.63993533006802,0.0015259378141731,11811,"nbinom+binomlog"
"result.4","of",6.88352347308387,0.0737416662684155,0.555613857828988,15,0.950323909812106,0.904390950188473,0.413688515224359,0.731821797797952,6.06086070215187e-07,0.0252936005957734,2.24351726321707,3.98967367688519e-05,8818,"nbinom+binomlog"
"result.5","he",3.90461179917293,0.0501760305261997,0.293640189055876,169,0.939520358094653,0.0773136871077928,0.503962774077127,0.674418694713764,3.036673118787e-06,0.029915799183931,2.27881265423911,0.00231364320011695,7537,"nbinom+binomlog"
"result.6","that",3.8672474373124,0.0579579557404217,0.378795219950262,8,0.970579938090618,0.877457572376607,0.142888569591675,0.527569821796265,7.67352630604957e-08,0.0346286229480343,2.25309253616423,0.00296089778198272,6411,"nbinom+binomlog"
"result.7","a",6.07821061050345,0.0906076251005289,0.725284836700967,81,0.918223849467717,0.168285892775331,0.714061118889628,0.999998339705579,0.00719558144600079,0.0379345890170252,2.39929796771816,0.000361833650970644,6222,"nbinom+binomlog"
"result.8","was",5.58182514528016,0.0862348804395879,0.145669837191271,58,0.928048127813767,0.210126075775394,0.318206089933799,0.0389768957502336,2.3999001163339,0.0350323594206749,4.0649376027652e-06,0.000192703347752121,6033,"nbinom+binomlog"
"result.9","in",7.23845891235233,0.113170823371354,0.362179461607786,99,0.896278297410604,0.150452441130539,0.569697558358773,0.0426276702302647,2.52638251706039,0.0528566061231266,9.65202483444239e-06,0.000190519373914344,5786,"nbinom+binomlog"
"result.10","as",6.41744897101176,0.12889177589673,0.724369531621244,21,0.906327879149028,0.509759804348484,0.474781834982827,0.936282559947699,9.42342298541432e-08,0.0505634691314438,2.32274574640417,4.74064925374273e-05,4424,"nbinom+binomlog"
"result.11","her",1.33402765272665,0.0303641798281347,0.0533504566545071,3,0.989935880810601,3.56939601446616,1,0.99997634022079,1.00987542741089,0.0303736912630546,1.3337401028821,0.0532594089754486,4345,"all"
"result.12","you",0.945671296800923,0.0239391573663685,0.183614646426329,52,0.986238017698021,0.0557452340234947,0.000645492822564986,0.999905409627155,1.24631100833582,0.0239205704853812,0.945345602280097,0.18310630756152,3934,"nbinom+doublenbinom"
"result.13","his",4.69006635126371,0.110277917725331,0.739706557652476,442,0.892113072684842,0.0230708759929371,0.73547928575854,0.788499412366929,12.1835900794666,0.0982736794531842,3.76962007326646,0.733890501344692,3860,"all"
"result.14","it",3.45654269302791,0.0869364658760759,0.225621947199225,6,0.957041967785878,0.901970931919622,0.00553694999518906,0.99500411283307,2.60719518109233e-07,0.069133186312169,2.69258787653052,0.00162928168275711,3703,"nbinom"
"result.15","she",1.10186498908018,0.0301829933702616,0.0796401936407961,138,0.962290883283498,0.0306205402512767,0.043648134570792,0.904269109518905,1.16563073971536,0.0296615970994725,1.07858293092112,0.0735019591348027,3611,"nbinom+doublenbinom"
"result.16","had",4.02145504739747,0.103243559921975,0.192940166409508,12,0.926770777725453,0.605759113528253,0.236018297268256,9.44894723749884e-06,9.25763388014805e-09,0.0726787053432123,2.72610639157602,0.0256199997076909,3563,"nbinom+binomlog"
"result.17","i",0.958587722130919,0.0278054030982443,0.000410771237941865,101,0.976974625216401,0.0315531032782238,0.000177049972549304,0.999999895962253,1.34636582953376,0.0277619219098841,0.957166622297165,0.000407228163391893,3418,"nothing"
"result.18","not",4.87340104270641,0.132904119859668,0.18772001983553,42,0.88399032728169,0.214774671930112,0.172376048935124,0.999999699651733,5.79933599842977e-07,0.0704953931749031,2.38216651324246,0.00542634543418408,3243,"nbinom+binomlog"
"result.19","for",6.68064110517253,0.180633821535776,0.71902692188306,19,0.866892880623257,0.49569508013935,0.631430719409138,0.0566985951400501,0.020712057738905,0.0988605437296738,3.29330429005204,0.00798343298875415,3091,"nbinom+binomlog"
"result.20","at",6.48595527586875,0.176766055322457,0.0219202776079012,15,0.880879149123659,0.584754074403577,0.0184001950323089,0.941992590801222,7.35985159825893e-07,0.087128504077873,2.89113163063133,7.81669622917924e-07,3081,"nothing"
"result.21","this",5.2095870930093,0.149615382561205,0.627731438609529,7,0.915582874059233,0.97177750114373,0.22145117370837,0.944975004676909,1.93342644666145e-06,0.101943539402168,3.33788585720272,0.0685335956957923,3020,"all"
"result.22","him",5.02783308138463,0.146077467311039,0.0251030409009958,429,0.834360419184065,0.0241953152544452,0.194828035550566,0.124515298682465,0.587286773895777,0.135837468018515,3.97429484644964,0.044246869088284,2998,"binomlog"
"result.23","with",7.36608500022567,0.208732703669921,0.668337746348108,23,0.836966581716682,0.428916178779951,0.740062837497764,0.0338291055257426,0.0079293994642269,0.148627861134133,4.88653978758575,0.261441352928437,2848,"all"
"result.24","be",5.27701617511411,0.184818734774308,0.844343576347388,896,0.809282907060697,0.0101063639844973,0.851859430389649,4.95786284262126e-05,4.04124637476768e-07,0.117156448862911,3.06845683357762,0.317813118945494,2374,"all"
"result.25","but",3.77568515374509,0.139793834290072,0.443092117422742,9,0.903633126485938,0.645461341899555,0.773116855489819,0.999999941806118,7.05459483545915e-08,0.0946048184131363,2.43143017069798,0.20267674424967,2370,"all"
"result.26","or",3.67628053488938,0.138221037616959,0.0466433903079547,8,0.905888889882712,0.700594419567344,0.0396953598674282,0.0527031002554262,0.00546606563912437,0.0996611276546691,2.5246584833342,0.00395916039720368,2338,"nothing"
"result.27","so",4.29865723313389,0.164425208581588,0.318298252616464,6,0.903271864804181,0.900871233889215,0.103624839900643,0.999999428328418,6.83290616057366e-05,0.109047034534725,2.66995958909388,0.115595435363709,2228,"all"
"result.28","all",5.17385071269382,0.198799849578063,0.568711654733673,667,0.811058429711387,0.0121645050970076,0.560944617851036,0.0811676801534334,0.0291130513354084,0.115394515978293,2.67066232665891,0.011149038973076,2127,"nbinom+binomlog"
"result.29","clyde",2.55128216672989,0.111788098275679,0.072939658545341,854,0.890625692471982,0.00647018808832843,0.0704189282306121,0.999980408359826,0.000720492525855736,0.106822136514229,2.42253807403904,0.0657288827847798,2068,"all"
"result.30","on",4.37897177808838,0.189273838884581,0.749158800638301,7,0.891821254135706,0.740748723435004,0.504188667519391,0.999999304160741,0.000237130494521251,0.115858243309822,2.40747208500766,0.0165878971796866,1913,"nbinom+binomlog"
"result.31","now",3.48545842349085,0.158192311641712,0.346158260926807,8,0.89577737680471,0.616872243140689,0.280261410295791,0.999999172590055,3.2225886294192e-06,0.10278864279793,2.08808213220449,0.0771546754978273,1892,"all"
"result.32","would",3.10154107976592,0.157991285806088,0.884059800555652,300,0.83450209382607,0.0194720193966654,0.832371083774917,0.156890208425598,2.82135153652407,0.1725733624625,0.28483955086614,0.884243297248665,1686,"all"
"result.33","which",4.37198216242027,0.213500112447048,0.20423232699468,553,0.775096114061907,0.0125243900214716,0.410183744658321,0.641420453825781,0.14291247066325,0.213220334348785,4.34328229686746,0.201540147567553,1643,"all"
"result.34","by",6.04018263209621,0.273817684254086,0.50013405239772,837,0.715485439372612,0.00953018804092627,0.509947757755861,0.273696146925205,4.91577752750804,0.274291036409091,1.12402609453955,0.500124613837102,1634,"all"
"result.35","there",2.68026422561341,0.154957107850318,0.00571741373536072,434,0.871399671489221,0.0105510280238103,0.013512633169771,0.310959178546457,1.41511694249631,0.13273765024896,1.75546093293871,0.0123077243271359,1491,"nothing"
"result.36","one",5.3206736691659,0.269500006808994,0.200077081928305,890,0.721961352310654,0.00796181921785455,0.123825484200348,0.251061199273907,4.83636823824973,0.376151421329106,7.80780355938172e-06,0.441812790829652,1471,"all"
"result.37","if",4.05692441603446,0.222010140049588,0.0686664529923271,20,0.813266430750118,0.274180051880165,0.0200208785010366,0.141308802240249,0.967762421858851,0.32990010474506,4.10372699120596,0.0237777398874992,1450,"nbinom"
"result.38","were",3.12002463431089,0.182463275620754,0.29748898064255,797,0.836043335913182,0.00633088134325075,0.1660713377306,0.0434015377102032,0.0535249354174868,0.195897023250152,3.12488604820516,0.265846584318876,1426,"all"
"result.39","could",3.15280791777917,0.187691735320936,0.452251918010592,10,0.864443643216605,0.433473332695169,0.512110108146415,0.303966104806419,2.25512740892242,0.142820201393531,1.41558641683406,0.552257398935059,1392,"all"
"result.40","from",4.25632680412161,0.25346374052192,0.000457514034800655,6,0.850239593055774,0.709397906761775,0.00224406726783244,0.247129902547301,3.89270679385633,0.349363131877002,0.36785760089051,0.000450404099275326,1279,"nothing"
"result.41","have",2.91458989943567,0.191307821059308,0.0204740854671653,4,0.888131515092091,0.840245927798348,0.141821166728892,0.188089327038293,2.69815303798984,0.0702311763393111,0.0517197258315855,0.0273384896319604,1257,"binomlog"
"result.42","here",2.18272305195472,0.151734455410721,0.669916539607432,294,0.87015564970947,0.0131455963756708,0.516805881292058,0.268920802984096,2.78791780125002,0.0690190769657839,0.339642083600223,0.74311070615138,1245,"all"
"result.43","then",2.00253232596971,0.141037778674597,0.738738134269794,856,0.88978363789652,0.00413090577758213,0.310014180720869,0.181916169444404,2.21481404562304,0.0322833282189698,0.074565193533536,0.831998929452668,1244,"all"
"result.44","any",4.32177035857424,0.264310427132212,0.172583121909037,7,0.835663686948888,0.619221290067503,0.174289845979838,0.99999789663035,4.92939419647165e-07,0.171936806948358,2.52446979082549,0.00326380112903812,1227,"nbinom+binomlog"
"result.45","they",2.62850726882855,0.181246574353259,0.726631376116387,4,0.893125008883341,0.785208376437059,0.652758670561976,0.993076956956383,1.17524593353841e-06,0.142147629644135,1.96901223023465,0.103128654651375,1211,"all"
"result.46","what",2.88127288180774,0.204084342756775,0.19781610282429,4,0.885404949681034,0.80202419036112,0.350186589317483,0.347901616179913,4.32798188085525,0.0575373282256658,0.204054354837295,0.485792908028634,1146,"all"
"result.47","no",2.39425468928538,0.178232483561005,0.330520593405303,5,0.885041159649395,0.62607783220264,0.278335985895924,0.248845363766352,2.8093881278047,0.0614072346640353,0.169395643699557,0.559783526387498,1126,"all"
"result.48","who",4.04808840129226,0.272038155482005,0.576146337262276,14,0.776323336192597,0.332688485324069,0.668913895885289,0.0751534435116279,2.42874616038068e-06,0.250709186281731,3.63802871021944,0.619589182256907,1105,"all"
"result.49","more",4.41895587255084,0.296977145944379,0.285384631987938,9,0.789518572698516,0.484362273086771,0.471366691117402,0.110495204157754,0.175746645495653,0.362056569233456,5.13737025426655,0.440195338765836,1067,"all"
"result.50","time",3.63311195930408,0.258507692638971,0.415246168225532,385,0.78404740600312,0.0117171214048794,0.102471148753605,0.0262711616546102,0.0145165777832991,0.239670153652194,3.13791564916499,0.131582023942551,1063,"all"
