"0", "1", "2", "3", "4", "5"
"1", 66, 31, 2, 1, 0, 0
"2", 50, 35, 13, 2, 0, 0
"3", 41, 39, 17, 2, 1, 0
"4", 27, 39, 29, 3, 1, 1
"5", 22, 22, 32, 15, 6, 3
"6", 33, 39, 18, 8, 1, 1
"7", 21, 29, 21, 14, 10, 5
"8", 17, 24, 32, 11, 10, 6
"9", 15, 17, 29, 18, 11, 10
"10", 13, 14, 24, 24, 12, 13
"11", 68, 25, 7, 0, 0, 0
"12", 74, 19, 5, 2, 0, 0
"13", 59, 24, 16, 1, 0, 0
"14", 48, 33, 11, 3, 2, 3
"15", 59, 31, 5, 4, 1, 0
"16", 37, 31, 22, 6, 2, 2
"17", 35, 37, 17, 5, 3, 3
"18", 26, 36, 19, 10, 5, 4
"19", 19, 33, 25, 11, 7, 5
